Month,Day,Hour,AC System Output (kW)
5,26,11,0.154819
5,26,12,0.372769
5,26,13,0.405615
5,26,14,0.321799
5,26,15,0.130902
5,26,16,0.055545
5,26,17,0.281072
5,26,18,0.084579
5,26,19,0.07895
5,26,20,0
5,26,21,0
5,26,22,0
5,26,23,0
5,27,0,0
5,27,1,0
5,27,2,0
5,27,3,0
5,27,4,0
5,27,5,0.000906
5,27,6,0.029048
5,27,7,0.188128
5,27,8,0.188824
5,27,9,0.296717
5,27,10,0.436019
5,27,11,0.640553
5,27,12,0.633273
5,27,13,0.681998
5,27,14,0.616286
5,27,15,0.553082
5,27,16,0.510041
5,27,17,0.507315
5,27,18,0.400033
5,27,19,0.152075
5,27,20,0.056487
5,27,21,0.00161
5,27,22,0
5,27,23,0
5,28,0,0
5,28,1,0
5,28,2,0
5,28,3,0
5,28,4,0
5,28,5,0.014758
5,28,6,0.066707
5,28,7,0.205476
5,28,8,0.418229
5,28,9,0.706959
5,28,10,0.759352
5,28,11,0.783822
5,28,12,0.785095
5,28,13,0.78777
5,28,14,0.781522
5,28,15,0.772792
5,28,16,0.73873
5,28,17,0.675673
5,28,18,0.529231
5,28,19,0.198829
5,28,20,0.05707
5,28,21,0.011556
5,28,22,0
5,28,23,0
5,29,0,0
5,29,1,0
5,29,2,0
5,29,3,0
5,29,4,0
5,29,5,0.034741
5,29,6,0.065981
5,29,7,0.303167
5,29,8,0.609279
5,29,9,0.700318
5,29,10,0.746302
5,29,11,0.764698
5,29,12,0.775521
5,29,13,0.778241
5,29,14,0.771599
5,29,15,0.759562
5,29,16,0.726775
5,29,17,0.665513
5,29,18,0.525627
5,29,19,0.181598
5,29,20,0.05589
5,29,21,0.013638
5,29,22,0
5,29,23,0
5,30,0,0
5,30,1,0
5,30,2,0
5,30,3,0
5,30,4,0
5,30,5,0.010517
5,30,6,0.049091
5,30,7,0.105956
5,30,8,0.513323
5,30,9,0.446699
5,30,10,0.603701
5,30,11,0.232201
5,30,12,0.387608
5,30,13,0.194231
5,30,14,0.294586
5,30,15,0.135627
5,30,16,0.28501
5,30,17,0.501675
5,30,18,0.438996
5,30,19,0.155698
5,30,20,0.057545
5,30,21,0.012651
5,30,22,0
5,30,23,0
5,31,0,0
5,31,1,0
5,31,2,0
5,31,3,0
5,31,4,0
5,31,5,0.03053
5,31,6,0.073284
5,31,7,0.259184
5,31,8,0.315041
5,31,9,0.602217
5,31,10,0.603525
5,31,11,0.658726
5,31,12,0.667156
5,31,13,0.632144
5,31,14,0.669055
5,31,15,0.567817
5,31,16,0.512852
5,31,17,0.515908
5,31,18,0.334069
5,31,19,0.159091
5,31,20,0.054863
5,31,21,0.018641
5,31,22,0
5,31,23,0
6,1,0,0
6,1,1,0
6,1,2,0
6,1,3,0
6,1,4,0
6,1,5,0.035218
6,1,6,0.063228
6,1,7,0.330567
6,1,8,0.658149
6,1,9,0.73749
6,1,10,0.761359
6,1,11,0.773048
6,1,12,0.773459
6,1,13,0.767939
6,1,14,0.758682
6,1,15,0.745055
6,1,16,0.729848
6,1,17,0.676724
6,1,18,0.394621
6,1,19,0.211407
6,1,20,0.059476
6,1,21,0.019641
6,1,22,0
6,1,23,0
6,2,0,0
6,2,1,0
6,2,2,0
6,2,3,0
6,2,4,0
6,2,5,0.03571
6,2,6,0.077237
6,2,7,0.244738
6,2,8,0.299102
6,2,9,0.708419
6,2,10,0.738734
6,2,11,0.745899
6,2,12,0.750011
6,2,13,0.752671
6,2,14,0.750898
6,2,15,0.743938
6,2,16,0.735942
6,2,17,0.6894
6,2,18,0.546313
6,2,19,0.211622
6,2,20,0.060144
6,2,21,0.020183
6,2,22,0
6,2,23,0
6,3,0,0
6,3,1,0
6,3,2,0
6,3,3,0
6,3,4,0
6,3,5,0.03647
6,3,6,0.007699
6,3,7,0.017444
6,3,8,0.056355
6,3,9,0.132993
6,3,10,0.738659
6,3,11,0.741572
6,3,12,0.753327
6,3,13,0.765477
6,3,14,0.768276
6,3,15,0.695266
6,3,16,0.398036
6,3,17,0.703176
6,3,18,0.402752
6,3,19,0.223407
6,3,20,0.059153
6,3,21,0.023042
6,3,22,0
6,3,23,0
6,4,0,0
6,4,1,0
6,4,2,0
6,4,3,0
6,4,4,0
6,4,5,0.033574
6,4,6,0.054399
6,4,7,0.337876
6,4,8,0.689495
6,4,9,0.765698
6,4,10,0.79793
6,4,11,0.811675
6,4,12,0.81215
6,4,13,0.809139
6,4,14,0.529608
6,4,15,0.606293
6,4,16,0.017331
6,4,17,0.387851
6,4,18,0.577249
6,4,19,0.223038
6,4,20,0.061327
6,4,21,0.023864
6,4,22,0
6,4,23,0
6,5,0,0
6,5,1,0
6,5,2,0
6,5,3,0
6,5,4,0
6,5,5,0.000577
6,5,6,0.009651
6,5,7,0.021071
6,5,8,0.361235
6,5,9,0.136953
6,5,10,0.141983
6,5,11,0.433562
6,5,12,0.583713
6,5,13,0.591635
6,5,14,0.172954
6,5,15,0.221668
6,5,16,0.13339
6,5,17,0.072041
6,5,18,0.043413
6,5,19,0.221387
6,5,20,0.061187
6,5,21,0.025406
6,5,22,0
6,5,23,0
6,6,0,0
6,6,1,0
6,6,2,0
6,6,3,0
6,6,4,0
6,6,5,0.036336
6,6,6,0.062622
6,6,7,0.336087
6,6,8,0.688377
6,6,9,0.463524
6,6,10,0.700851
